Function                                                                                                                                                CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module                    Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                            Source File            Start Address
hypre_ParCSRMatrixTruncate                                                                                                                                0.112s                   0.112s                  0s                      0s  libHYPRE-2.28.0.so        hypre_ParCSRMatrixTruncate                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x28e0b0     
MatGetRow_SeqBAIJ                                                                                                                                         0.112s                   0.112s                  0s                      0s  libpetsc.so.3.19          MatGetRow_SeqBAIJ                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x4eb760     
hypre_BoomerAMGCoarsenRuge                                                                                                                                0.108s                   0.108s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGCoarsenRuge                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x148090     
hypre_enter_on_lists                                                                                                                                      0.104s                   0.104s                  0s                      0s  libHYPRE-2.28.0.so        hypre_enter_on_lists                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x3588f0     
PMPI_Comm_create                                                                                                                                          0.104s                   0.104s                  0s                      0s  libmpi.so.12              PMPI_Comm_create                                                                                                                                                                                                                                                                                                                                                                                                                                           comm_create.c          0x3cbeb0     
PetscSortIntWithDataArray                                                                                                                                 0.096s                   0.096s                  0s                      0s  libpetsc.so.3.19          PetscSortIntWithDataArray                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x21e7f0     
realloc                                                                                                                                                   0.092s                   0.092s                  0s                      0s  libc.so.6                 realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0xa5740      
malloc                                                                                                                                                    0.092s                   0.092s                  0s                      0s  libc.so.6                 malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0xa50a0      
hypre_CSRMatrixMatvecOutOfPlaceHost                                                                                                                       0.084s                   0.084s                  0s                      0s  libHYPRE-2.28.0.so        hypre_CSRMatrixMatvecOutOfPlaceHost                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x2cfc30     
hypre_IJMatrixSetValuesParCSR                                                                                                                             0.084s                   0.084s                  0s                      0s  libHYPRE-2.28.0.so        hypre_IJMatrixSetValuesParCSR                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x8dae0      
func@0x883f4                                                                                                                                              0.080s                   0.080s                  0s                      0s  libc.so.6                 func@0x883f4                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x883f4      
PetscMallocA                                                                                                                                              0.076s                   0.076s                  0s                      0s  libpetsc.so.3.19          PetscMallocA                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x1d3f70     
[MKL BLAS]@dscal                                                                                                                                          0.076s                   0.076s                  0s                      0s  libmkl_intel_thread.so.2  mkl_blas_dscal                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x3fe900     
hypre_qsort2_abs                                                                                                                                          0.072s                   0.072s                  0s                      0s  libHYPRE-2.28.0.so        hypre_qsort2_abs                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x361c60     
OCPMixtureMethodK_OGW01::FlashDer                                                                                                                         0.072s                   0.072s                  0s                      0s  testOpenCAEPoro           OCPMixtureMethodK_OGW01::FlashDer(OCPMixtureVarSet&)                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x4cea40     
PetscFreeAlign                                                                                                                                            0.064s                   0.064s                  0s                      0s  libpetsc.so.3.19          PetscFreeAlign                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x1d3dc0     
hypre_BoomerAMGCoarsenPMISHost                                                                                                                            0.064s                   0.064s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGCoarsenPMISHost                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x14fc80     
OCPTable::Eval_All                                                                                                                                        0.064s                   0.064s                  0s                      0s  testOpenCAEPoro           OCPTable::Eval_All(unsigned int const&, double const&, std::vector<double, std::allocator<double>>&, std::vector<double, std::allocator<double>>&) const                                                                                                                                                                                                                                                                                                   [Unknown]              0x4e67b0     
FIM_solver_p_cpr                                                                                                                                          0.060s                   0.060s                  0s                      0s  testOpenCAEPoro           FIM_solver_p_cpr                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x606940     
IsoT_FIM::AssembleMatBulks                                                                                                                                0.060s                   0.060s                  0s                      0s  testOpenCAEPoro           IsoT_FIM::AssembleMatBulks(LinearSystem&, Reservoir const&, double const&) const                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x552040     
operator new                                                                                                                                              0.058s                   0.058s                  0s                      0s  libc++abi.so              operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x25000      
std::vector<double, std::allocator<double>>::_M_range_insert<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double>>>>    0.056s                   0.056s                  0s                      0s  testOpenCAEPoro           std::vector<double, std::allocator<double>>::_M_range_insert<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double>>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double>>>, std::forward_iterator_tag)  [Unknown]              0x512a20     
PMPI_Comm_size                                                                                                                                            0.056s                   0.056s                  0s                      0s  libmpi.so.12              PMPI_Comm_size                                                                                                                                                                                                                                                                                                                                                                                                                                             comm_size.c            0x3d6ac0     
PetscOptionsGetEList                                                                                                                                      0.052s                   0.052s                  0s                      0s  libpetsc.so.3.19          PetscOptionsGetEList                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x1885f0     
std::vector<double, std::allocator<double>>::operator=                                                                                                    0.052s                   0.052s                  0s                      0s  testOpenCAEPoro           std::vector<double, std::allocator<double>>::operator=(std::vector<double, std::allocator<double>> const&)                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x498e80     
PetscStrcasecmp                                                                                                                                           0.052s                   0.052s                  0s                      0s  libpetsc.so.3.19          PetscStrcasecmp                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]              0x22eb80     
func@0xea220                                                                                                                                              0.050s                   0.050s                  0s                      0s  libpetsc.so.3.19          func@0xea220                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xea220      
fopen                                                                                                                                                     0.048s                   0.048s                  0s                      0s  libc.so.6                 fopen                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x7f630      
hypre_swap2                                                                                                                                               0.048s                   0.048s                  0s                      0s  libHYPRE-2.28.0.so        hypre_swap2                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x3614f0     
HYPRE_IJMatrixSetValues2                                                                                                                                  0.048s                   0.048s                  0s                      0s  libHYPRE-2.28.0.so        HYPRE_IJMatrixSetValues2                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x8a300      
func@0xe5290                                                                                                                                              0.048s                   0.048s                  0s                      0s  libpetsc.so.3.19          func@0xe5290                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xe5290      
IsoT_FIM::PassFlashValue                                                                                                                                  0.048s                   0.048s                  0s                      0s  testOpenCAEPoro           IsoT_FIM::PassFlashValue(Bulk&, unsigned int const&)                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x556010     
hypre_CSRMatrixMatvecTHost                                                                                                                                0.044s                   0.044s                  0s                      0s  libHYPRE-2.28.0.so        hypre_CSRMatrixMatvecTHost                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x2d3f90     
_intel_fast_memset                                                                                                                                        0.044s                   0.044s                  0s                      0s  testOpenCAEPoro           _intel_fast_memset                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x61f910     
