Function                                                                                                                                                CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module                    Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                            Source File            Start Address
MatGetRow                                                                                                                                                 0.040s                   0.040s                  0s                      0s  libpetsc.so.3.19          MatGetRow                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x8dea60     
PMPI_Allreduce                                                                                                                                            0.040s                   0.040s                  0s                      0s  libmpi.so.12              PMPI_Allreduce                                                                                                                                                                                                                                                                                                                                                                                                                                             c_binding.c            0x1750b0     
IsoT_FIM::GetSolution                                                                                                                                     0.036s                   0.036s                  0s                      0s  testOpenCAEPoro           IsoT_FIM::GetSolution(Reservoir&, std::vector<double, std::allocator<double>>&, ControlNR const&)                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x552b90     
PMPI_Allgather                                                                                                                                            0.032s                   0.032s                  0s                      0s  libmpi.so.12              PMPI_Allgather                                                                                                                                                                                                                                                                                                                                                                                                                                             c_binding.c            0x171970     
PetscFunctionListFind_Private                                                                                                                             0.032s                   0.032s                  0s                      0s  libpetsc.so.3.19          PetscFunctionListFind_Private                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x1de490     
kh_put_HMapI                                                                                                                                              0.032s                   0.032s                  0s                      0s  libpetsc.so.3.19          kh_put_HMapI                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x387ab0     
MatSetValues                                                                                                                                              0.032s                   0.032s                  0s                      0s  libpetsc.so.3.19          MatSetValues                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x8de5a0     
_intel_fast_memcpy                                                                                                                                        0.028s                   0.028s                  0s                      0s  testOpenCAEPoro           _intel_fast_memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x61f740     
PetscMallocValidate                                                                                                                                       0.028s                   0.028s                  0s                      0s  libpetsc.so.3.19          PetscMallocValidate                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x1d7170     
func@0x1b34b4                                                                                                                                             0.028s                   0.028s                  0s                      0s  libc.so.6                 func@0x1b34b4                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x1b34b4     
MatILUFactorSymbolic_SeqBAIJ_ilu0                                                                                                                         0.028s                   0.028s                  0s                      0s  libpetsc.so.3.19          MatILUFactorSymbolic_SeqBAIJ_ilu0                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x5417c0     
VecMDot_Seq                                                                                                                                               0.028s                   0.028s                  0s                      0s  libpetsc.so.3.19          VecMDot_Seq                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x3e2af0     
dlsym                                                                                                                                                     0.024s                   0.024s                  0s                      0s  libc.so.6                 dlsym                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x90740      
PMPI_Comm_rank                                                                                                                                            0.024s                   0.024s                  0s                      0s  libmpi.so.12              PMPI_Comm_rank                                                                                                                                                                                                                                                                                                                                                                                                                                             comm_rank.c            0x3d3190     
hypre_Rand                                                                                                                                                0.024s                   0.024s                  0s                      0s  libHYPRE-2.28.0.so        hypre_Rand                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x364430     
__libm_pow_l9                                                                                                                                             0.024s                   0.024s                  0s                      0s  testOpenCAEPoro           __libm_pow_l9                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x585ec0     
PetscClassRegLogGetClass                                                                                                                                  0.024s                   0.024s                  0s                      0s  libpetsc.so.3.19          PetscClassRegLogGetClass                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0x1ff8e0     
[MKL BLAS]@_ddot                                                                                                                                          0.024s                   0.024s                  0s                      0s  libmkl_intel_lp64.so.2    mkl_blas__ddot                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x304ba0     
PetscSFSetUpRanks                                                                                                                                         0.024s                   0.024s                  0s                      0s  libpetsc.so.3.19          PetscSFSetUpRanks                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x3867c0     
func@0xe8db0                                                                                                                                              0.024s                   0.024s                  0s                      0s  libpetsc.so.3.19          func@0xe8db0                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xe8db0      
asctime                                                                                                                                                   0.024s                   0.024s                  0s                      0s  libc.so.6                 asctime                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0xd8d00      
VecNormAvailable                                                                                                                                          0.024s                   0.024s                  0s                      0s  libpetsc.so.3.19          VecNormAvailable                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x436f30     
memcmp                                                                                                                                                    0.022s                   0.022s                  0s                      0s  libc-dynamic.so           memcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x69c80      
PetscOptionsGetBool                                                                                                                                       0.022s                   0.022s                  0s                      0s  libpetsc.so.3.19          PetscOptionsGetBool                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x185fc0     
PetscFreeA                                                                                                                                                0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          PetscFreeA                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x1d4400     
PetscOptionsInt_Private                                                                                                                                   0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          PetscOptionsInt_Private                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]              0x16c4c0     
func@0xeb1e0                                                                                                                                              0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          func@0xeb1e0                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xeb1e0      
__intel_sse2_strncat                                                                                                                                      0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           __intel_sse2_strncat                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x63c360     
hypre_CSRMatrixTransposeHost                                                                                                                              0.020s                   0.020s                  0s                      0s  libHYPRE-2.28.0.so        hypre_CSRMatrixTransposeHost                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x2ca660     
OCP_PVCO::CalRhoXiMuRsDer                                                                                                                                 0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           OCP_PVCO::CalRhoXiMuRsDer(double const&, double&, double&, double&, double&, double&, double&, double&, double&) const                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x56d840     
__intel_sse2_strlen                                                                                                                                       0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           __intel_sse2_strlen                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x63c330     
MatSolverTypeGet                                                                                                                                          0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          MatSolverTypeGet                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x8e55d0     
PMPI_Type_create_struct                                                                                                                                   0.020s                   0.020s                  0s                      0s  libmpi.so.12              PMPI_Type_create_struct                                                                                                                                                                                                                                                                                                                                                                                                                                    type_create_struct.c   0x85dd80     
IsoT_FIM::CalRes                                                                                                                                          0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           IsoT_FIM::CalRes(Reservoir&, double const&)                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x5519d0     
PMPI_Init                                                                                                                                                 0.020s                   0.020s                  0s                      0s  libmpi.so.12              PMPI_Init                                                                                                                                                                                                                                                                                                                                                                                                                                                  init.c                 0x5b8d80     
hypre_BoomerAMGSetup                                                                                                                                      0.020s                   0.020s                  0s                      0s  libHYPRE-2.28.0.so        hypre_BoomerAMGSetup                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]              0x3bd3d0     
func@0xea830                                                                                                                                              0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          func@0xea830                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xea830      
Dscalar                                                                                                                                                   0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           Dscalar(int const&, double const&, double*)                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]              0x545bd0     
PMPI_Comm_get_attr                                                                                                                                        0.020s                   0.020s                  0s                      0s  libmpi.so.12              PMPI_Comm_get_attr                                                                                                                                                                                                                                                                                                                                                                                                                                         comm_get_attr.c        0x3d0bd0     
VecScatterCreate                                                                                                                                          0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          VecScatterCreate                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x397c60     
PetscObjectListAdd                                                                                                                                        0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          PetscObjectListAdd                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]              0x17f6c0     
PetscPopSignalHandler                                                                                                                                     0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          PetscPopSignalHandler                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]              0x1c7720     
PetscInfo_Private                                                                                                                                         0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          PetscInfo_Private                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]              0x1beee0     
func@0x810b0                                                                                                                                              0.020s                   0.020s                  0s                      0s  libHYPRE-2.28.0.so        func@0x810b0                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x810b0      
get_PP                                                                                                                                                    0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           get_PP(dBSRmat_*, int, int, int, _p_Mat*&)                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x613b80     
_intel_fast_memmove                                                                                                                                       0.020s                   0.020s                  0s                      0s  testOpenCAEPoro           _intel_fast_memmove                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]              0x61f840     
PetscObjectChangeTypeName                                                                                                                                 0.020s                   0.020s                  0s                      0s  libpetsc.so.3.19          PetscObjectChangeTypeName                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x1b4d40     
PetscPushSignalHandler                                                                                                                                    0.018s                   0.018s                  0s                      0s  libpetsc.so.3.19          PetscPushSignalHandler                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]              0x1c73c0     
func@0x1afb04                                                                                                                                             0.018s                   0.018s                  0s                      0s  libc.so.6                 func@0x1afb04                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]              0x1afb04     
PetscFunctionListAdd_Private                                                                                                                              0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          PetscFunctionListAdd_Private                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x1dd340     
KSPMonitorSetFromOptions                                                                                                                                  0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          KSPMonitorSetFromOptions                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]              0xef6300     
hypre_Free                                                                                                                                                0.016s                   0.016s                  0s                      0s  libHYPRE-2.28.0.so        hypre_Free                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x4e2b70     
func@0xe7f90                                                                                                                                              0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          func@0xe7f90                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0xe7f90      
PetscOptionsHelpPrintedCheck                                                                                                                              0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          PetscOptionsHelpPrintedCheck                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]              0x166110     
PetscMallocAlign                                                                                                                                          0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          PetscMallocAlign                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]              0x1d3b10     
PMPI_Comm_delete_attr                                                                                                                                     0.016s                   0.016s                  0s                      0s  libmpi.so.12              PMPI_Comm_delete_attr                                                                                                                                                                                                                                                                                                                                                                                                                                      comm_delete_attr.c     0x3cd6f0     
ScatterAndInsert_PetscReal_1_1                                                                                                                            0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          ScatterAndInsert_PetscReal_1_1                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x2fdd70     
PMPI_Comm_free                                                                                                                                            0.016s                   0.016s                  0s                      0s  libmpi.so.12              PMPI_Comm_free                                                                                                                                                                                                                                                                                                                                                                                                                                             comm_free.c            0x3d0050     
MatGetFactor_seqbaij_petsc                                                                                                                                0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          MatGetFactor_seqbaij_petsc                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]              0x52b1f0     
IsoT_FIM::CalKrPc                                                                                                                                         0.016s                   0.016s                  0s                      0s  testOpenCAEPoro           IsoT_FIM::CalKrPc(Bulk&) const                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]              0x554620     
PetscHeaderCreate_Private                                                                                                                                 0.016s                   0.016s                  0s                      0s  libpetsc.so.3.19          PetscHeaderCreate_Private                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]              0x179090     
PMPI_Comm_set_attr                                                                                                                                        0.016s                   0.016s                  0s                      0s  libmpi.so.12              PMPI_Comm_set_attr                                                                                                                                                                                                                                                                                                                                                                                                                                         comm_set_attr.c        0x3d4c90     
