  Rank     Grid Num     Updating Properties(s)     Assembling(s)     Communication(collect)(s)     Communication(P2P)(s)     1AllReduce(OCPCheck)(s)     Newton Step(s)     Newton Step(c)(s)
    80         1003                      1.472             2.612                         1.055                     0.300                       0.292              0.626                 0.408
    81         1002                      1.476             2.568                         1.116                     0.338                       0.336              0.578                 0.385
    82          998                      1.519             2.620                         1.156                     0.279                       0.369              0.567                 0.367
    83         1006                      1.477             2.536                         1.200                     0.305                       0.329              0.582                 0.369
    84         1001                      1.453             2.590                         1.096                     0.310                       0.299              0.607                 0.387
    85          996                      1.425             2.591                         1.107                     0.289                       0.296              0.588                 0.399
    86          993                      1.483             2.536                         1.254                     0.310                       0.379              0.561                 0.381
    87         1011                      1.455             2.612                         1.101                     0.340                       0.324              0.608                 0.381
    88          999                      1.443             2.565                         1.119                     0.367                       0.317              0.610                 0.384
    89         1006                      1.515             2.498                         1.315                     0.302                       0.410              0.509                 0.346
    90         1008                      1.435             2.548                         1.282                     0.336                       0.354              0.604                 0.364
    91         1009                      1.475             2.615                         1.130                     0.291                       0.335              0.588                 0.382
    92         1014                      1.495             2.696                         0.957                     0.265                       0.308              0.583                 0.416
    93         1011                      1.448             2.511                         1.360                     0.276                       0.373              0.561                 0.367
    94          993                      1.508             2.476                         1.372                     0.339                       0.390              0.577                 0.332
    95         1016                      1.557             2.589                         1.246                     0.258                       0.430              0.504                 0.359
    96          999                      1.414             2.495                         1.310                     0.297                       0.327              0.579                 0.372
    97         1001                      1.447             2.633                         1.044                     0.389                       0.312              0.654                 0.394
    98         1002                      1.499             2.642                         1.012                     0.308                       0.321              0.580                 0.392
    99          996                      1.434             2.493                         1.329                     0.226                       0.353              0.475                 0.356
   100         1007                      1.489             2.624                         1.056                     0.314                       0.336              0.574                 0.393
   101          983                      1.479             2.562                         1.189                     0.303                       0.353              0.569                 0.381
   102          954                      1.456             2.589                         1.251                     0.189                       0.348              0.478                 0.351
   103         1001                      1.454             2.620                         1.075                     0.367                       0.315              0.623                 0.386
   104         1008                      1.538             2.658                         1.039                     0.341                       0.370              0.606                 0.399
   105          992                      1.457             2.584                         1.186                     0.305                       0.347              0.599                 0.391
   106         1004                      1.474             2.641                         1.072                     0.309                       0.332              0.597                 0.394
   107         1011                      1.502             2.636                         1.092                     0.313                       0.356              0.574                 0.375
   108         1003                      1.582             2.574                         1.313                     0.295                       0.459              0.506                 0.321
   109          988                      1.465             2.539                         1.191                     0.373                       0.345              0.636                 0.384
   110          995                      1.531             2.710                         0.995                     0.292                       0.352              0.564                 0.382
   111          987                      1.491             2.597                         1.085                     0.342                       0.335              0.600                 0.395
   112          969                      1.482             2.503                         1.294                     0.301                       0.365              0.613                 0.388
   113         1000                      1.430             2.645                         0.908                     0.292                       0.250              0.563                 0.417
   114          984                      1.490             2.488                         1.315                     0.291                       0.385              0.529                 0.359
   115         1018                      1.397             2.456                         1.373                     0.186                       0.329              0.446                 0.358
   116          982                      1.415             2.439                         1.361                     0.236                       0.333              0.503                 0.374
   117         1000                      1.477             2.474                         1.409                     0.294                       0.406              0.534                 0.351
   118          999                      1.482             2.623                         1.071                     0.256                       0.322              0.543                 0.399
   119         1001                      1.476             2.588                         1.103                     0.220                       0.317              0.489                 0.373
   120         1005                      1.488             2.566                         1.197                     0.293                       0.363              0.538                 0.366
   121         1005                      1.529             2.634                         1.062                     0.337                       0.368              0.560                 0.368
   122          994                      1.454             2.627                         1.067                     0.349                       0.329              0.602                 0.388
   123          996                      1.471             2.529                         1.191                     0.332                       0.339              0.586                 0.380
   124         1011                      1.455             2.635                         1.028                     0.311                       0.315              0.575                 0.401
   125         1004                      1.479             2.614                         1.048                     0.296                       0.319              0.564                 0.402
   126          964                      1.530             2.482                         1.271                     0.375                       0.386              0.594                 0.360
   127          986                      1.523             2.495                         1.404                     0.250                       0.408              0.527                 0.332
   128          995                      1.495             2.584                         1.105                     0.325                       0.350              0.575                 0.391
   129          995                      1.462             2.599                         1.088                     0.349                       0.328              0.620                 0.396
   130          983                      1.458             2.514                         1.237                     0.274                       0.342              0.541                 0.372
   131         1007                      1.559             2.616                         1.040                     0.350                       0.363              0.606                 0.396
   132         1006                      1.546             2.624                         1.039                     0.312                       0.346              0.568                 0.380
   133         1009                      1.510             2.629                         1.044                     0.289                       0.339              0.563                 0.393
   134          999                      1.600             2.831                         0.921                     0.286                       0.402              0.534                 0.350
   135          997                      1.471             2.612                         1.070                     0.339                       0.329              0.593                 0.391
   136         1003                      1.529             2.644                         1.067                     0.355                       0.378              0.590                 0.374
   137         1008                      1.477             2.500                         1.302                     0.310                       0.377              0.551                 0.359
   138          998                      1.509             2.515                         1.337                     0.249                       0.399              0.500                 0.344
   139         1004                      1.505             2.604                         1.087                     0.294                       0.353              0.561                 0.394
   140          994                      1.503             2.510                         1.284                     0.324                       0.393              0.568                 0.368
   141          999                      1.503             2.526                         1.261                     0.259                       0.385              0.499                 0.367
   142          994                      1.491             2.602                         1.103                     0.316                       0.348              0.578                 0.391
   143         1007                      1.488             2.643                         1.044                     0.324                       0.337              0.581                 0.385
   144         1008                      1.461             2.640                         1.074                     0.301                       0.344              0.569                 0.395
   145         1006                      1.489             2.578                         1.097                     0.320                       0.339              0.565                 0.384
   146          997                      1.495             2.548                         1.124                     0.380                       0.345              0.630                 0.393
   147         1022                      1.537             2.581                         1.189                     0.292                       0.395              0.527                 0.356
   148         1000                      1.426             2.567                         1.097                     0.264                       0.292              0.541                 0.394
   149          994                      1.477             2.591                         1.104                     0.320                       0.345              0.576                 0.390
   150         1004                      1.411             2.574                         1.099                     0.332                       0.294              0.598                 0.402
   151          923                      1.461             2.272                         1.687                     0.302                       0.424              0.510                 0.308
   152         1008                      1.425             2.558                         1.191                     0.286                       0.331              0.555                 0.387
   153         1006                      1.494             2.450                         1.464                     0.217                       0.417              0.469                 0.332
   154          999                      1.516             2.785                         0.879                     0.287                       0.330              0.561                 0.384
   155         1000                      1.467             2.620                         1.015                     0.250                       0.308              0.496                 0.379
   156          997                      1.459             2.596                         1.054                     0.395                       0.312              0.646                 0.394
   157         1001                      1.460             2.620                         1.010                     0.306                       0.291              0.577                 0.386
   158         1004                      1.486             2.601                         0.985                     0.367                       0.287              0.632                 0.404
   159         1013                      1.555             2.615                         1.161                     0.248                       0.407              0.496                 0.365
   160         1010                      1.636             2.759                         1.064                     0.270                       0.457              0.471                 0.319
   161          993                      1.554             2.719                         1.053                     0.282                       0.401              0.492                 0.345
   162          988                      1.467             2.492                         1.347                     0.278                       0.380              0.526                 0.357
   163         1000                      1.524             2.522                         1.205                     0.364                       0.368              0.609                 0.370
   164         1022                      1.420             2.554                         1.193                     0.293                       0.332              0.540                 0.384
   165          982                      1.485             2.445                         1.429                     0.312                       0.390              0.576                 0.341
   166         1011                      1.478             2.518                         1.317                     0.316                       0.401              0.532                 0.353
   167         1006                      1.522             2.509                         1.340                     0.316                       0.381              0.596                 0.332
   168          992                      1.488             2.576                         1.088                     0.335                       0.339              0.575                 0.390
   169         1003                      1.540             2.621                         0.999                     0.336                       0.334              0.583                 0.393
   170         1014                      1.525             2.636                         1.026                     0.328                       0.343              0.598                 0.394
   171          994                      1.407             2.629                         1.026                     0.264                       0.264              0.570                 0.412
   172          996                      1.459             2.517                         1.192                     0.333                       0.328              0.587                 0.380
   173         1017                      1.515             2.592                         1.144                     0.285                       0.349              0.595                 0.385
   174         1002                      1.453             2.574                         1.088                     0.333                       0.318              0.590                 0.404
   175         1007                      1.447             2.650                         0.890                     0.366                       0.251              0.641                 0.418
   176          998                      1.458             2.623                         1.006                     0.338                       0.289              0.630                 0.401
   177         1014                      1.503             2.644                         0.991                     0.392                       0.330              0.653                 0.404
   178         1020                      1.505             2.603                         1.167                     0.266                       0.381              0.527                 0.377
   179          996                      1.439             2.492                         1.326                     0.243                       0.345              0.524                 0.356
   180          967                      1.447             2.449                         1.325                     0.291                       0.349              0.515                 0.348
   181         1000                      1.453             2.577                         1.026                     0.368                       0.290              0.621                 0.401
   182         1000                      1.444             2.660                         1.175                     0.246                       0.352              0.541                 0.369
   183          975                      1.427             2.532                         1.181                     0.328                       0.322              0.569                 0.383
   184          994                      1.494             2.572                         1.165                     0.308                       0.349              0.598                 0.390
   185          964                      1.494             2.429                         1.422                     0.212                       0.398              0.456                 0.347
   186         1007                      1.466             2.635                         0.973                     0.350                       0.298              0.616                 0.407
   187         1010                      1.468             2.657                         0.936                     0.392                       0.297              0.651                 0.408
   188          990                      1.519             2.579                         1.040                     0.375                       0.328              0.614                 0.392
   189         1007                      1.431             2.629                         1.045                     0.337                       0.309              0.591                 0.397
   190         1000                      1.454             2.630                         1.018                     0.347                       0.294              0.622                 0.394
   191          983                      1.434             2.494                         1.251                     0.334                       0.333              0.583                 0.378
   192         1044                      1.455             2.566                         1.221                     0.358                       0.354              0.592                 0.363
   193          991                      1.481             2.573                         1.182                     0.309                       0.363              0.533                 0.371
   194         1004                      1.448             2.561                         1.184                     0.272                       0.320              0.544                 0.372
   195         1003                      1.445             2.574                         1.152                     0.345                       0.328              0.585                 0.383
   196         1000                      1.489             2.587                         1.176                     0.319                       0.368              0.542                 0.367
   197         1010                      1.455             2.389                         1.530                     0.222                       0.392              0.426                 0.315
   198         1014                      1.474             2.457                         1.377                     0.254                       0.382              0.469                 0.348
   199         1003                      1.413             2.511                         1.262                     0.344                       0.332              0.575                 0.377
   200         1005                      1.454             2.586                         1.072                     0.358                       0.306              0.589                 0.383
   201         1001                      1.417             2.578                         1.061                     0.248                       0.266              0.518                 0.393
   202          990                      1.465             2.570                         1.157                     0.323                       0.338              0.549                 0.369
   203         1011                      1.411             2.565                         1.143                     0.277                       0.301              0.514                 0.380
   204         1007                      1.667             2.548                         1.402                     0.230                       0.517              0.413                 0.280
   205         1008                      1.620             2.795                         0.923                     0.338                       0.400              0.541                 0.340
   206          990                      1.470             2.554                         1.161                     0.373                       0.331              0.600                 0.360
   207          992                      1.417             2.466                         1.313                     0.305                       0.330              0.529                 0.365
   208          997                      1.481             2.591                         1.072                     0.338                       0.300              0.613                 0.388
   209         1018                      1.531             2.650                         1.033                     0.347                       0.334              0.625                 0.387
   210         1011                      1.473             2.565                         1.109                     0.339                       0.318              0.567                 0.367
   211         1009                      1.485             2.371                         1.631                     0.312                       0.437              0.515                 0.290
   212         1003                      1.359             2.513                         1.305                     0.322                       0.308              0.584                 0.374
   213          987                      1.487             2.535                         1.233                     0.387                       0.364              0.590                 0.341
   214          999                      1.431             2.590                         1.038                     0.341                       0.267              0.615                 0.411
   215         1011                      1.403             2.531                         1.228                     0.246                       0.314              0.481                 0.364
   216         1011                      1.433             2.525                         1.254                     0.344                       0.335              0.593                 0.369
   217         1006                      1.579             2.415                         1.565                     0.305                       0.491              0.485                 0.296
   218         1015                      1.482             2.673                         1.016                     0.378                       0.334              0.592                 0.361
   219          999                      1.470             2.487                         1.310                     0.298                       0.352              0.549                 0.347
   220         1000                      1.410             2.430                         1.414                     0.283                       0.354              0.474                 0.330
   221         1021                      1.480             2.486                         1.358                     0.224                       0.374              0.458                 0.338
   222         1009                      1.472             2.577                         1.176                     0.346                       0.352              0.578                 0.377
   223         1013                      1.585             2.479                         1.482                     0.255                       0.477              0.464                 0.300
   224         1008                      1.408             2.434                         1.403                     0.181                       0.315              0.442                 0.338
   225          947                      1.416             2.292                         1.698                     0.267                       0.385              0.496                 0.307
   226          997                      1.463             2.557                         1.202                     0.352                       0.329              0.615                 0.366
   227          996                      1.476             2.403                         1.508                     0.321                       0.408              0.521                 0.317
   228         1015                      1.408             2.414                         1.446                     0.256                       0.344              0.487                 0.338
   229         1006                      1.505             2.502                         1.361                     0.332                       0.405              0.562                 0.347
   230         1009                      1.428             2.492                         1.370                     0.283                       0.357              0.522                 0.346
   231         1023                      1.434             2.608                         1.190                     0.360                       0.345              0.582                 0.354
   232         1004                      1.440             2.482                         1.387                     0.371                       0.370              0.608                 0.342
   233          994                      1.455             2.473                         1.345                     0.403                       0.352              0.635                 0.346
   234          991                      1.431             2.486                         1.307                     0.362                       0.341              0.584                 0.355
   235         1015                      1.513             2.540                         1.302                     0.325                       0.400              0.548                 0.342
   236         1012                      1.492             2.461                         1.452                     0.357                       0.404              0.569                 0.305
   237         1018                      1.554             2.613                         1.436                     0.190                       0.476              0.412                 0.275
   238         1015                      1.389             2.566                         1.188                     0.252                       0.296              0.495                 0.357
   239          995                      1.363             2.438                         1.326                     0.281                       0.292              0.509                 0.368
   240          994                      1.356             2.492                         1.239                     0.245                       0.277              0.491                 0.379
   241         1002                      1.402             2.449                         1.294                     0.321                       0.309              0.528                 0.355
   242         1004                      1.444             2.441                         1.413                     0.389                       0.366              0.587                 0.319
   243         1014                      1.478             2.440                         1.392                     0.264                       0.364              0.500                 0.335
   244          948                      1.375             2.353                         1.496                     0.188                       0.307              0.457                 0.343
   245          992                      1.348             2.478                         1.355                     0.237                       0.306              0.495                 0.364
   246         1029                      1.339             2.556                         1.150                     0.259                       0.252              0.513                 0.384
   247          954                      1.455             2.412                         1.535                     0.276                       0.381              0.544                 0.321
   248         1009                      1.354             2.470                         1.242                     0.241                       0.267              0.466                 0.368
   249         1032                      1.543             2.661                         1.132                     0.270                       0.385              0.478                 0.327
   250         1008                      1.414             2.489                         1.291                     0.240                       0.320              0.491                 0.358
   251         1008                      1.461             2.469                         1.426                     0.299                       0.387              0.503                 0.316
   252         1009                      1.438             2.435                         1.423                     0.289                       0.363              0.499                 0.325
   253          992                      1.457             2.452                         1.366                     0.255                       0.329              0.550                 0.352
   254          952                      1.437             2.334                         1.656                     0.210                       0.412              0.408                 0.307
   255         1044                      1.376             2.510                         1.234                     0.175                       0.270              0.441                 0.359

==================================================
Item                          Average     Varance         Max         Min
Grid Num                         1000          16        1044         914
Updating Properties(s)          1.474       0.053       1.667       1.339
Assembling(s)                   2.565       0.089       2.831       2.272
Communication(collect)(s)       1.216       0.168       1.698       0.879
Communication(P2P)(s)           0.288       0.056       0.403       0.138
1AllReduce(OCPCheck)(s)         0.352       0.048       0.517       0.250
