SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	      74.000	         180	         742	 5.04418e+03	 2.64869e+09	 2.00000e+04	 1.48000e+06	 2.47920e+04	 1.93603e+06	 1.87674e-02
	      77.000	         184	         760	 5.05416e+03	 2.64879e+09	 2.00000e+04	 1.54000e+06	 2.46596e+04	 2.01001e+06	 1.85804e-02
	      80.000	         188	         778	 5.06418e+03	 2.64889e+09	 2.00000e+04	 1.60000e+06	 2.45323e+04	 2.08361e+06	 1.83857e-02
	      83.000	         192	         796	 5.07424e+03	 2.64899e+09	 2.00000e+04	 1.66000e+06	 2.44116e+04	 2.15684e+06	 1.81849e-02
	      86.000	         196	         815	 5.08431e+03	 2.64909e+09	 2.00000e+04	 1.72000e+06	 2.42999e+04	 2.22974e+06	 1.79797e-02
	      89.000	         200	         833	 5.09436e+03	 2.64920e+09	 2.00000e+04	 1.78000e+06	 2.42006e+04	 2.30235e+06	 1.77733e-02
	      92.000	         204	         851	 5.10444e+03	 2.64930e+09	 2.00000e+04	 1.84000e+06	 2.41180e+04	 2.37470e+06	 1.75702e-02
	      95.000	         209	         874	 5.11456e+03	 2.64940e+09	 2.00000e+04	 1.90000e+06	 2.40574e+04	 2.44687e+06	 1.73739e-02
	      98.000	         213	         893	 5.12466e+03	 2.64950e+09	 2.00000e+04	 1.96000e+06	 2.40190e+04	 2.51893e+06	 1.71863e-02
	     101.000	         217	         912	 5.13478e+03	 2.64960e+09	 2.00000e+04	 2.02000e+06	 2.40019e+04	 2.59094e+06	 1.70086e-02
	     104.000	         221	         931	 5.14489e+03	 2.64971e+09	 2.00000e+04	 2.08000e+06	 2.40015e+04	 2.66294e+06	 1.68381e-02
	     107.000	         225	         950	 5.15500e+03	 2.64981e+09	 2.00000e+04	 2.14000e+06	 2.40156e+04	 2.73499e+06	 1.66727e-02
	     110.000	         229	         968	 5.16511e+03	 2.64991e+09	 2.00000e+04	 2.20000e+06	 2.40452e+04	 2.80712e+06	 1.65143e-02
	     113.000	         233	         987	 5.17518e+03	 2.65001e+09	 2.00000e+04	 2.26000e+06	 2.40905e+04	 2.87939e+06	 1.63662e-02
	     116.000	         237	        1008	 5.18522e+03	 2.65011e+09	 2.00000e+04	 2.32000e+06	 2.41459e+04	 2.95183e+06	 1.62260e-02
	     119.000	         241	        1029	 5.19524e+03	 2.65021e+09	 2.00000e+04	 2.38000e+06	 2.42069e+04	 3.02445e+06	 1.60916e-02
	     122.000	         245	        1050	 5.20526e+03	 2.65031e+09	 2.00000e+04	 2.44000e+06	 2.42683e+04	 3.09726e+06	 1.59584e-02
	     125.000	         249	        1071	 5.21522e+03	 2.65042e+09	 2.00000e+04	 2.50000e+06	 2.43278e+04	 3.17024e+06	 1.58246e-02
	     128.000	         253	        1093	 5.22517e+03	 2.65052e+09	 2.00000e+04	 2.56000e+06	 2.43879e+04	 3.24340e+06	 1.56941e-02
	     131.000	         258	        1121	 5.23506e+03	 2.65062e+09	 2.00000e+04	 2.62000e+06	 2.44452e+04	 3.31674e+06	 1.55650e-02
	     134.000	         263	        1147	 5.24494e+03	 2.65072e+09	 2.00000e+04	 2.68000e+06	 2.44972e+04	 3.39023e+06	 1.54343e-02
	     137.000	         267	        1170	 5.25480e+03	 2.65081e+09	 2.00000e+04	 2.74000e+06	 2.45472e+04	 3.46387e+06	 1.53039e-02
	     140.000	         271	        1193	 5.26462e+03	 2.65091e+09	 2.00000e+04	 2.80000e+06	 2.45965e+04	 3.53766e+06	 1.51748e-02
	     143.000	         276	        1224	 5.27441e+03	 2.65101e+09	 2.00000e+04	 2.86000e+06	 2.46422e+04	 3.61159e+06	 1.50449e-02
	     146.000	         280	        1247	 5.28414e+03	 2.65111e+09	 2.00000e+04	 2.92000e+06	 2.46860e+04	 3.68565e+06	 1.49153e-02
	     149.000	         284	        1270	 5.29387e+03	 2.65121e+09	 2.00000e+04	 2.98000e+06	 2.47265e+04	 3.75983e+06	 1.47850e-02
	     152.000	         288	        1292	 5.30355e+03	 2.65131e+09	 2.00000e+04	 3.04000e+06	 2.47642e+04	 3.83412e+06	 1.46548e-02
	     155.000	         292	        1313	 5.31323e+03	 2.65140e+09	 2.00000e+04	 3.10000e+06	 2.47955e+04	 3.90851e+06	 1.45218e-02
	     158.000	         296	        1336	 5.32288e+03	 2.65150e+09	 2.00000e+04	 3.16000e+06	 2.48227e+04	 3.98297e+06	 1.43885e-02
	     161.000	         300	        1358	 5.33248e+03	 2.65160e+09	 2.00000e+04	 3.22000e+06	 2.48466e+04	 4.05751e+06	 1.42552e-02
	     164.000	         304	        1381	 5.34208e+03	 2.65169e+09	 2.00000e+04	 3.28000e+06	 2.48701e+04	 4.13212e+06	 1.41227e-02
	     167.000	         308	        1403	 5.35160e+03	 2.65179e+09	 2.00000e+04	 3.34000e+06	 2.48949e+04	 4.20681e+06	 1.39916e-02
	     170.000	         312	        1425	 5.36115e+03	 2.65189e+09	 2.00000e+04	 3.40000e+06	 2.49160e+04	 4.28156e+06	 1.38579e-02
	     173.000	         316	        1446	 5.37065e+03	 2.65198e+09	 2.00000e+04	 3.46000e+06	 2.49439e+04	 4.35639e+06	 1.37275e-02
	     176.000	         321	        1474	 5.38009e+03	 2.65208e+09	 2.00000e+04	 3.52000e+06	 2.49784e+04	 4.43132e+06	 1.36021e-02
	     179.000	         326	        1499	 5.38954e+03	 2.65217e+09	 2.00000e+04	 3.58000e+06	 2.50080e+04	 4.50635e+06	 1.34741e-02
	     180.000	         328	        1508	 5.39261e+03	 2.65221e+09	 2.00000e+04	 3.60000e+06	 2.50165e+04	 4.53136e+06	 1.34307e-02
	     182.000	         331	        1523	 5.39887e+03	 2.65227e+09	 2.00000e+04	 3.64000e+06	 2.50337e+04	 4.58143e+06	 1.33462e-02
	     185.000	         335	        1547	 5.40824e+03	 2.65236e+09	 2.00000e+04	 3.70000e+06	 2.50545e+04	 4.65659e+06	 1.32199e-02
	     188.000	         339	        1571	 5.41761e+03	 2.65246e+09	 2.00000e+04	 3.76000e+06	 2.50707e+04	 4.73181e+06	 1.30927e-02
	     191.000	         343	        1594	 5.42690e+03	 2.65255e+09	 2.00000e+04	 3.82000e+06	 2.50838e+04	 4.80706e+06	 1.29641e-02
	     194.000	         347	        1617	 5.43618e+03	 2.65265e+09	 2.00000e+04	 3.88000e+06	 2.50974e+04	 4.88235e+06	 1.28368e-02
	     197.000	         351	        1639	 5.44545e+03	 2.65274e+09	 2.00000e+04	 3.94000e+06	 2.51128e+04	 4.95769e+06	 1.27110e-02
	     200.000	         355	        1664	 5.45465e+03	 2.65283e+09	 2.00000e+04	 4.00000e+06	 2.51359e+04	 5.03310e+06	 1.25875e-02
	     203.000	         359	        1690	 5.46383e+03	 2.65292e+09	 2.00000e+04	 4.06000e+06	 2.51553e+04	 5.10856e+06	 1.24623e-02
	     206.000	         363	        1714	 5.47298e+03	 2.65302e+09	 2.00000e+04	 4.12000e+06	 2.51737e+04	 5.18408e+06	 1.23397e-02
	     209.000	         367	        1737	 5.48208e+03	 2.65311e+09	 2.00000e+04	 4.18000e+06	 2.51888e+04	 5.25965e+06	 1.22176e-02
	     212.000	         371	        1761	 5.49115e+03	 2.65320e+09	 2.00000e+04	 4.24000e+06	 2.52007e+04	 5.33525e+06	 1.20949e-02
	     215.000	         375	        1784	 5.50022e+03	 2.65329e+09	 2.00000e+04	 4.30000e+06	 2.52129e+04	 5.41089e+06	 1.19712e-02
	     218.000	         379	        1807	 5.50926e+03	 2.65338e+09	 2.00000e+04	 4.36000e+06	 2.52279e+04	 5.48657e+06	 1.18465e-02
	     221.000	         383	        1831	 5.51827e+03	 2.65347e+09	 2.00000e+04	 4.42000e+06	 2.52520e+04	 5.56233e+06	 1.17271e-02
	     224.000	         387	        1855	 5.52724e+03	 2.65356e+09	 2.00000e+04	 4.48000e+06	 2.52653e+04	 5.63813e+06	 1.16049e-02
	     227.000	         391	        1878	 5.53618e+03	 2.65365e+09	 2.00000e+04	 4.54000e+06	 2.52755e+04	 5.71395e+06	 1.14832e-02
	     230.000	         395	        1902	 5.54510e+03	 2.65374e+09	 2.00000e+04	 4.60000e+06	 2.52848e+04	 5.78981e+06	 1.13627e-02
	     233.000	         399	        1925	 5.55399e+03	 2.65383e+09	 2.00000e+04	 4.66000e+06	 2.52943e+04	 5.86569e+06	 1.12410e-02
	     236.000	         403	        1951	 5.56285e+03	 2.65392e+09	 2.00000e+04	 4.72000e+06	 2.53071e+04	 5.94161e+06	 1.11201e-02
	     239.000	         407	        1978	 5.57167e+03	 2.65401e+09	 2.00000e+04	 4.78000e+06	 2.53185e+04	 6.01757e+06	 1.10006e-02
	     242.000	         411	        2003	 5.58048e+03	 2.65410e+09	 2.00000e+04	 4.84000e+06	 2.53207e+04	 6.09353e+06	 1.08737e-02
	     245.000	         415	        2029	 5.58925e+03	 2.65419e+09	 2.00000e+04	 4.90000e+06	 2.53353e+04	 6.16953e+06	 1.07573e-02
	     248.000	         419	        2055	 5.59804e+03	 2.65428e+09	 2.00000e+04	 4.96000e+06	 2.53455e+04	 6.24557e+06	 1.06389e-02
	     251.000	         423	        2080	 5.60678e+03	 2.65437e+09	 2.00000e+04	 5.02000e+06	 2.53523e+04	 6.32163e+06	 1.05193e-02
	     254.000	         427	        2106	 5.61545e+03	 2.65445e+09	 2.00000e+04	 5.08000e+06	 2.53567e+04	 6.39770e+06	 1.03986e-02
	     257.000	         431	        2133	 5.62414e+03	 2.65454e+09	 2.00000e+04	 5.14000e+06	 2.53608e+04	 6.47378e+06	 1.02773e-02
	     260.000	         436	        2166	 5.63281e+03	 2.65463e+09	 2.00000e+04	 5.20000e+06	 2.53683e+04	 6.54989e+06	 1.01538e-02
	     263.000	         440	        2191	 5.64145e+03	 2.65472e+09	 2.00000e+04	 5.26000e+06	 2.53796e+04	 6.62602e+06	 1.00327e-02
	     266.000	         444	        2217	 5.65004e+03	 2.65480e+09	 2.00000e+04	 5.32000e+06	 2.53913e+04	 6.70220e+06	 9.91235e-03
	     269.000	         448	        2242	 5.65862e+03	 2.65489e+09	 2.00000e+04	 5.38000e+06	 2.54018e+04	 6.77840e+06	 9.79122e-03
	     272.000	         452	        2268	 5.66717e+03	 2.65498e+09	 2.00000e+04	 5.44000e+06	 2.54105e+04	 6.85464e+06	 9.66903e-03
	     275.000	         456	        2294	 5.67567e+03	 2.65506e+09	 2.00000e+04	 5.50000e+06	 2.54178e+04	 6.93089e+06	 9.54630e-03
	     278.000	         460	        2320	 5.68419e+03	 2.65515e+09	 2.00000e+04	 5.56000e+06	 2.54245e+04	 7.00716e+06	 9.42331e-03
	     281.000	         464	        2347	 5.69267e+03	 2.65523e+09	 2.00000e+04	 5.62000e+06	 2.54305e+04	 7.08345e+06	 9.29882e-03
	     284.000	         468	        2375	 5.70108e+03	 2.65532e+09	 2.00000e+04	 5.68000e+06	 2.54380e+04	 7.15977e+06	 9.17506e-03
	     287.000	         473	        2406	 5.70952e+03	 2.65540e+09	 2.00000e+04	 5.74000e+06	 2.54450e+04	 7.23610e+06	 9.04910e-03
	     290.000	         477	        2434	 5.71788e+03	 2.65549e+09	 2.00000e+04	 5.80000e+06	 2.54540e+04	 7.31246e+06	 8.92264e-03
	     293.000	         482	        2466	 5.72628e+03	 2.65557e+09	 2.00000e+04	 5.86000e+06	 2.54681e+04	 7.38887e+06	 8.79567e-03
	     296.000	         487	        2503	 5.73462e+03	 2.65566e+09	 2.00000e+04	 5.92000e+06	 2.54752e+04	 7.46529e+06	 8.66509e-03
	     299.000	         491	        2534	 5.74291e+03	 2.65574e+09	 2.00000e+04	 5.98000e+06	 2.54815e+04	 7.54174e+06	 8.53088e-03
	     302.000	         496	        2568	 5.75121e+03	 2.65582e+09	 2.00000e+04	 6.04000e+06	 2.54871e+04	 7.61820e+06	 8.39145e-03
	     305.000	         500	        2597	 5.75951e+03	 2.65591e+09	 2.00000e+04	 6.10000e+06	 2.54901e+04	 7.69467e+06	 8.24313e-03
	     308.000	         506	        2631	 5.76780e+03	 2.65599e+09	 2.00000e+04	 6.16000e+06	 2.54921e+04	 7.77115e+06	 8.08621e-03
	     310.000	         510	        2653	 5.77328e+03	 2.65605e+09	 2.00000e+04	 6.20000e+06	 2.54924e+04	 7.82213e+06	 7.97573e-03
	     313.000	         515	        2684	 5.78147e+03	 2.65613e+09	 2.00000e+04	 6.26000e+06	 2.54949e+04	 7.89862e+06	 7.78954e-03
	     315.000	         518	        2703	 5.78687e+03	 2.65618e+09	 2.00000e+04	 6.30000e+06	 2.55038e+04	 7.94962e+06	 7.64888e-03
	     317.000	         523	        2732	 5.79231e+03	 2.65624e+09	 2.00000e+04	 6.34000e+06	 2.55906e+04	 8.00081e+06	 7.48653e-03
	     319.000	         530	        2766	 5.79771e+03	 2.65629e+09	 2.00000e+04	 6.38000e+06	 2.60423e+04	 8.05289e+06	 7.34107e-03
